ano;questao_na_prova;situacao;id_no_site;gabarito_novas;confianca_gabarito;enunciado
2015;1;NOVA (adicionada e comentada);trauma-1082;C;alta;A fratura da glenoide que envolve seu terço superior e inclui o processo coracoide é classificada segundo IDEBERG como tipo
2015;2;já existia (ano marcado);pediatria-0063;;;A Leucomalácia periventricular é a lesão característica da
2015;3;já existia (ano marcado);ombro-cotovelo-0039;;;A artropatia neuropática do ombro está relacionada a
2015;4;já existia (ano marcado);coluna-0037, coluna-0095;;;A síndrome centromedular ocorre em idosos por mecanismo de
2015;5;já existia (ano marcado);ombro-cotovelo-0040;;;Nas lesões irreparáveis do manguito rotador envolvendo os tendões supraespinhal e infraespinhal, a transferência muscular quando indicada é feita com o
2015;6;já existia (ano marcado);ombro-cotovelo-0041;;;Na luxação glenoumeral anterior, a lesão do ligamento glenoumeral inferior ocorre na(s)
2015;7;já existia (ano marcado);coluna-0038;;;A dor lombar aguda, após exclusão de sinais de alarme, deve ser tratada com
2015;8;já existia (ano marcado);mao-0063;;;Na mão torta radial, a estabilização do punho utilizando os flexores superficiais deve incluir preferencialmente os tendões dos dedos
2015;9;já existia (ano marcado);tumores-0050;;;O cisto ósseo simples geralmente é detectado quando o paciente apresenta
2015;10;já existia (ano marcado);tumores-0051;;;A metástase óssea distal ao joelho ou ao cotovelo geralmente é decorrente de carcinoma de
2015;11;já existia (ano marcado);tumores-0052;;;O fibroma ossificante localiza-se mais comumente
2015;12;já existia (ano marcado);pediatria-0064;;;Durante a puberdade o crescimento do tronco
2015;13;NOVA (adicionada e comentada);pediatria-0596;A;média;A fratura osteocondral do tálus na criança é mais comum na região
2015;14;NOVA (adicionada e comentada);pediatria-0597;A;média;A fratura de estresse no pé da criança geralmente ocorre
2015;15;já existia (ano marcado);osteometabolicas-0010;;;A artralgia associada à picada do carrapato geralmente é observada no
2015;16;já existia (ano marcado);osteometabolicas-0011;;;O raquitismo induzido por medicamentos está relacionado principalmente ao uso de
2015;17;já existia (ano marcado);trauma-0128;;;A lesão de MONTEGGIA com fratura do terço médio ou proximal da ulna e fratura-luxação posterior da cabeça do rádio, é classificada por BADO como tipo
2015;18;já existia (ano marcado);mao-0064;;;Na deformidade em botoeira, a imobilização para o tratamento conservador deve manter a IFP em extensão e a IFD
2015;19;já existia (ano marcado);ombro-cotovelo-0042;;;A capsulite adesiva do ombro tem maior incidência em
2015;20;já existia (ano marcado);trauma-0129;;;Na lesão do anel pélvico, as artérias do sistema ilíaco interno mais relacionadas à hemorragia são a glútea
2015;21;já existia (ano marcado);pe-tornozelo-0044;;;No estágio II da insuficiência do tendão do tibial posterior, classificada por JOHNSON e STROM, encontramos no exame físico
2015;22;NOVA (adicionada e comentada);pediatria-0598;A;baixa;Na fratura do antebraço da criança que ocorre por mecanismo indireto, os segmentos mais vulneráveis ao trauma no rádio e na ulna são, respectivamente,
2015;23;já existia (ano marcado);conceitos-basicos-0051;;;Na pseudartrose após osteossíntese intramedular, o exame de imagem com maior sensibilidade para o diagnóstico é a
