questao_no_pdf;situacao;id_no_site;gabarito_pdf;gabarito_site;enunciado
1;no site (marcada TECOC);ombro-cotovelo-0177;B;B;Na artrodese glenoumeral, o paciente ideal é aquele que apresenta uma boa função do músculo
2;NÃO está no site; ;B;;Na fratura do corpo da escápula, o achado radiográfico que indica tratamento cirúrgico é
3;no site (marcada TECOC);ombro-cotovelo-0178;D;D;No tratamento da instabilidade glenoumeral anterior, o uso de aloenxerto de tíbia distal é mais vantajoso do que o coracoide por apresentar
4;no site (marcada TECOC);ombro-cotovelo-0179;A;A;Na avaliação da lesão SLAP, o Biceps Load Test 1 se diferencia do Biceps Load Test 2 pela posição do braço em
5;no site (marcada TECOC);ombro-cotovelo-0180;B;B;No pós-operatório da rigidez de cotovelo, o uso do dispositivo CPM (continuous passive motion) está indicado durante as primeiras semanas para
6;no site (marcada TECOC);trauma-0442;A;A;A fratura em duas partes da extremidade proximal do úmero mais frequente é a do
7;no site (marcada TECOC);ombro-cotovelo-0181;B;B;Na lesão do manguito rotador, dentre os preditores de progressão, considera(m)-se de alto risco
8;no site (marcada TECOC);trauma-0443;D;D;Na lesão da articulação acromioclavicular, o tipo IIA da classificação de SCHEIBEL corresponde a instabilidade
9;no site (marcada TECOC);ombro-cotovelo-0182;C;C;O ângulo crítico do ombro de 40º está relacionado
10;no site (marcada TECOC);trauma-0444;B;B;Na fratura do tipo IA de GOSS-IDEBERG, a fixação com parafusos deve ser realizada abaixo da linha do equador da glenoide para evitar lesão
11;no site (marcada TECOC);ombro-cotovelo-0183;C;C;A alteração mais frequentemente associada a lesão SLAP é a
12;no site (marcada TECOC);trauma-0445;D;D;No tratamento da fratura da extremidade proximal do úmero com placa bloqueada, a complicação mais frequente é a
13;no site (marcada TECOC);ombro-cotovelo-0184;C;C;Na via de acesso posterior do ombro para tratamento da instabilidade, podemos aumentar o risco de lesão do nervo axilar se realizarmos
14;no site (marcada TECOC);ombro-cotovelo-0185;B;B;A lesão parcial do manguito rotador entre 1 e 2 cm é classificada por SNYDER como grau
15;no site (marcada TECOC);trauma-0446;A;A;Na fratura do terço lateral da clavícula, a técnica de estabilização cirúrgica que apresenta maior índice de complicação é a
16;no site (marcada TECOC);ombro-cotovelo-0186;C;C;No reparo da lesão extensa do manguito rotador, são fatores de mau prognóstico para a cicatrização do tendão
17;no site (marcada TECOC);ombro-cotovelo-0187;C;C;Na instabilidade posterior do ombro, as lesões com perda do contorno do lábio posterior, de acordo com a classificação de KIM, correspondem ao tipo
18;no site (marcada TECOC);ombro-cotovelo-0189;D;D;O disco intra-articular da articulação acromioclavicular é composto por
