questao_no_pdf;situacao;id_no_site;gabarito_pdf;enunciado
1;no site (TEOT 2025);pediatria-0326;C;Na artrogripose clássica, as deformidades mais comuns encontradas nos membros superiores são cotovelo e punho, respectivamente, em:
2;no site (TEOT 2025);joelho-0179;C;Em pacientes com instabilidade posterolateral crônica do joelho, a insuficiência do ligamento cruzado posterior e deformidade em varo, é recomendada a realização de:
3;no site (TEOT 2025);mao-0405;A;Nas correções cirúrgicas da mão reumatoide, a ordem sequencial de prioridade para correção cirúrgica é:
4;NÃO está no site;;B;Os vasos corona mortis devem ser identificados e afastados ou ligados na via de acesso de:
5;no site (TEOT 2025);tumores-0245;C;O local mais frequente de fratura em osso patológico por condrossarcoma é:
6;no site (TEOT 2025);joelho-0180;B;Na ressonância magnética de um paciente com lesão no ligamento cruzado anterior do joelho, a presença de edema ósseo na região posteromedial da tíbia é sinal secundário:
7;NÃO está no site;;B;Fraturas do Tornozelo As fraturas de TILLAUX são decorrentes do fechamento assimétrico sequencial das regiões da fise distal da tíbia, que acontece na seguinte ordem:
8;no site (TEOT 2025);trauma-0745;B;Nas luxações do joelho, pela classificação de Schenk modificada por Wascher, o tipo KDIIC indica lesão:
9;no site (TEOT 2025);trauma-0746;D;Nas fraturas diafisárias da tíbia no adulto, são fatores de risco para síndrome compartimental aguda a fratura do terço:
10;no site (TEOT 2025);mao-0406;D;Na radiografia apresentada a seguir, segundo BAYNE e KLUG, a malformação congênita é classificada como tipo:
11;no site (TEOT 2025);mao-0407;A;Na neuropatia compressiva do ulnar, o nervo encontra-se em tensão máxima com o cotovelo em:
12;NÃO está no site;;C;Luxações Uma criança com subluxação traumática do ligamento anular apresentará em seu exame físico, cotovelo e antebraço, respectivamente:
13;no site (TEOT 2025);pediatria-0327;B;A imagem identificada pela seta na radiografia a seguir é altamente sugestiva de:
14;NÃO está no site;;A;Na avaliação complementar de um paciente com instabilidade anterior do ombro, a imagem da ressonância magnética que melhor avalia a lesão labral anterior é a no plano:
15;NÃO está no site;;A;Na imagem a seguir, da secção transversal do braço, as estrutura apontadas pelas setas 1 e 2 são, respectivamente:
16;no site (TEOT 2025);mao-0409;A;Na paralisia obstétrica, a presença da escápula alada na tentativa de rotação interna do ombro reflete o sinal:
17;no site (TEOT 2025);joelho-0181;B;A ruptura do tendão patelar acontece mais frequentemente em pacientes com:
18;no site (TEOT 2025);pediatria-0328;D;Na deficiência focal femoral proximal, o encurtamento muscular provoca alteração na função dos:
19;no site (TEOT 2025);joelho-0182;A;Em pacientes com osteocondrite dissecante do joelho, a marcha em rotação externa para evitar o contato entre o côndilo femoral medial e a espinha tibial medial caracteriza o sinal:
20;NÃO está no site;;C;A epicondilite lateral é mais frequente em pacientes:
21;no site (TEOT 2025);trauma-0747;B;A consolidação viciosa de fratura do côndilo femoral medial produz deformidade do joelho em:
22;no site (TEOT 2025);trauma-0748;A;No joelho flutuante do adulto, as lesões associadas à pior evolução são as fraturas:
23;no site (TEOT 2025);pediatria-0329;A;Na osteogênese imperfeita, a curva escoliótica mais comum é a:
24;no site (TEOT 2025);conceitos-basicos-0184;D;O fosfato de cálcio como substituto ósseo apresenta propriedade:
